product_id,product_category,product_name,review_description,number_stars,review_date,customer_id,customer_name,zip_code,customer_age
P6925-691,Home & Kitchen,Air Purifier,"Not very satisfied, has several problems.",2,2023-12-13,C16006,Taylor Lee,4814-58,36
P9751-846,Electronics,4K Ultra HD Smart TV,"Not very satisfied, has several problems.",2,30-11-2020,C93886,M. Taylor,1916,35
P7482-758,Home & Kitchen,Electric Kettle,Good product overall with minor issues.,4,10/19/2020,C93886,M. Taylor,1916,35
P2489-873,Electronics,USB-C Fast Charger,"Very disappointed, would not recommend.",1,2024-10-29,C30969,PAT HERNANDEZ,07252,33
P6573-214,Books,Cookbook: Easy Weeknight Meals,"Average experience, nothing special.",3,09/06/2022,C44522,Morgan  Brown,2743-48,22
P6310-600,Books,Productivity Guidebook,"Very disappointed, would not recommend.",1,08/17/2020,C50306,taylor smith,2290,27
P7932-316,Electronics,Fitness Smartwatch,"Great quality, very happy with this purchase.",5,26 Mar 2024,C50857,Pat  Garcia,9479 HH,25
P6413-172,Home & Kitchen,Non-Stick Frying Pan Set,"Great quality, very happy with this purchase.",5,05/02/2021,C38080,M. Brown,8744,38
P1993-512,Sports,Yoga Mat,"Average experience, nothing special.",3,2024-06-27,C34931,MORGAN DUBOIS,4006 HC,42
P3724-516,Sports,Adjustable Dumbbell Set,Good product overall with minor issues.,4,12/09/2022,C17685,SAM MARTINS,7396 ZZ,38
P1958-693,Electronics,4K Ultra HD Smart TV,"Great quality, very happy with this purchase.",5,04 May 2020,C16572,Casey  Dubois,9701,63
P5033-692,Pet Supplies,Pet Grooming Brush,"Great quality, very happy with this purchase.",5,"Mar 22, 2020",C16572,Casey  Dubois,9701,63
P5915-568,Home & Kitchen,Memory Foam Pillow,"Average experience, nothing special.",3,2024-03-19,C16572,Casey  Dubois,9701,63
P5002-478,Pet Supplies,Grain-Free Dog Food,"Average experience, nothing special.",3,19-11-2020,C49651,CASEY DE VRIES,5905-23,65
P4335-803,Home & Kitchen,Stainless Steel Knife Block,"Average experience, nothing special.",3,01-11-2022,C16658,Jamie Martins,1722,53
P9938-136,Pet Supplies,Cat Scratching Post,"Average experience, nothing special.",3,"Apr 07, 2023",C30969,PAT HERNANDEZ,07252,33
P2684-462,Home & Kitchen,Memory Foam Pillow,"Great quality, very happy with this purchase.",5,15-12-2024,C30257,Taylor Brown,3900-13,35
P7267-993,Electronics,Wireless Noise-Cancelling Headphones,"Very disappointed, would not recommend.",1,24-10-2024,C70332,Chris Lee,4728,57
