product_id;product_category;product_name;review_description;number_stars;review_id;customer_id;customer_name;zip_code;customer_age;
F001;Rekening;Betaalrekening Plus;Werkt prima, app is overzichtelijk.;5;R001;C001;Laura Janssen;1012;29;
F002;Rekening;Betaalrekening Plus;Kosten zijn te hoog. Echt belacheljk.;2;R002;C002;Tom Vermeer;2013;34 jaar;
F003;Sparen;SpaarPlan Flex;Goede rente en makkelijk te gebruiken.;4;R003;C003;Anna Kuiper;3051;45;
F004;Sparen;SpaarPlan Flex;Rente werd zomaar gewijzigd??;2;R004;C004;M. Peters;3051;23;
F005;Krediet;Persoonlijke Lening;Snelle goedkeuring, heel fijn.;5;R005;C005;Lotte de Vries;4001;31;
F006;Krediet;Persoonlijke Lening;Rente VEEL te hoog. Niet normaal.;1;R006;C006;Rob van Dam;4001;38;
F007;Hypotheek;Hypotheek Vast;Adviseur was onvriendelijk.;1;R007;C007;Elise Visr;5002;27;
F008;Hypotheek;Hypotheek Vast;Duidelijke uitleg en goede voorwaarden.;5;R008;C008;Sarah Bos;5002;28 jaar;
F009;Beleggen;Beleggingsrekening Basis;App loopt constant vast.;2;R009;C009;Tim Jacobs;1017;33;
F010;Beleggen;Beleggingsrekening Basis;Top! Mooie rendementen.;5;R010;C010;H. de Groot;1017;52;
F011;Rekening;Betaalrekening Plus;Prima, maar klantenservice traag.;3;R011;C011;Carla Jansn;2899;41;
F012;Rekening;Betaalrekening Plus;Kreeg ineens boete zonder uitleg.;1;R012;C012;Monique ten Hove;2899;36;
F013;Sparen;SpaarKas Junior;Handig voor kinderen.;5;R013;C013;David van Laar;4203;40;
F014;Sparen;SpaarKas Junior;Rekening openen duurde veeeeel te lang.;2;R014;C014;marlou klaasen;4203;29;
F015;Krediet;Doorlopend Krediet;Flexibel, precies wat ik nodig had.;4;R015;C015;Gerda Mulder;5001;54;
F016;Krediet;Doorlopend Krediet;Slechte voorwaarden, veel verborgen kosten.;1;R016;C016;Eva de Boer;5001;26;
F017;Hypotheek;Hypotheek Variabel;Aflossing ging fout door hun systeem.;2;R017;C017;Sjoerd Peper;1087;46;
F018;Hypotheek;Hypotheek Variabel;Heel tevreden, proces was soepel.;5;R018;C018;Karel Smid;1087;47 jaar;
F019;Beleggen;Beleggingsrekening Plus;;3;R019;C019;Iris Kuipers;2899;34;
F020;Sparen;SpaarPlan Flex;Niets dan problemen. Echt slecht.;1;R020;C020;Rachid Al Hassan;5002;33;
F021;Rekening;ZZP Rekening;Onhandige app-interface.;2;R021;C021;Nienke Roelofs;2013;29;
