product_id,product_category,product_name,review_description,number_stars,review_date,customer_id,customer_name,zip_code,customer_age
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 9,5,2022-10-14,C0036,T Willems,9935,67.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 23,4,2023-12-14,C0140,L Verhoeven,1106,84.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Zeer tevreden over de begeleiding en de goede organisatie nummer 12,5,2022-07-03,C0155,Sanne Bakker,9785,59.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 23,4,2022-07-09,C0170,A El Amrani,4814,45.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 23,4,2023-08-13,C0166,J de Vries,5010,35.0
P013,Hulpmiddelen & Comfortproducten,Zonnebloem Rolstoelkussen Comfort,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 26,4,2025-10-18,C0130,H. Mulder,8779,85.0
P018,Vrijwilligersdiensten,Mee-naar-ziekenhuis Service,De ervaring was wisselend met zowel pluspunten als minpunten nummer 5,3,10/10/2022,C0103,Jan de Vries,6377,77.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 24,4,10/02/2024,C0099,Bram Smit,6376,69.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Zeer tevreden over de begeleiding en de goede organisatie nummer 4,5,2023-08-17,C0091,K. de Groot,7816,68.0
P009,Zonnebloem-boottochten,MPS Zonnebloem Herfsttocht,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,23/12/2022,C0169,M. Jansen,4411,73.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 8,3,26/10/2023,C0054,Naomi Visser,6578,78.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,25/10/2023,C0094,Bram Smit,6246,77.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 24,4,22/09/2024,C0034,Naomi Visser,,64.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,De ervaring was wisselend met zowel pluspunten als minpunten nummer 6,3,2023-03-17,C0164,Sanne Bakker,6442,63.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,27/09/2022,C0063,Anja Koster,2213,65.0
P014,Hulpmiddelen & Comfortproducten,Antislip Dienblad Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 24,4,2023-05-13,C0109,Maria Jansen,1153,73.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Er waren veel problemen met de planning en te weinig hulp nummer 9,2,26/02/2023,C0100,,2486,73.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Er waren veel problemen met de planning en te weinig hulp nummer 13,1,14-03-2025,C0020,Ahmed El Amrani,6845,
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,De ervaring was wisselend met zowel pluspunten als minpunten nummer 6,3,2025-10-15,C0076,Jan de Vries,1423,65.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,2023-04-22,C0113,T Willems,5743,77.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 15,5,16/10/2024,C0199,B. Smit,9675,83.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,De ervaring was wisselend met zowel pluspunten als minpunten nummer 4,3,2024-01-21,C0097,,5462,57.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Zeer tevreden over de begeleiding en de goede organisatie nummer 11,5,2025-06-25,C0174,J. de Vries,7660,76.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,01/09/2024,C0136,Naomi Visser,3359,62.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Er waren veel problemen met de planning en te weinig hulp nummer 12,2,2023-08-09,C0170,Ahmed El Amrani,3031,69.0
P015,Hulpmiddelen & Comfortproducten,Bedtafel Verstelbaar Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,05/05/2024,C0176,Tom Willems,7179,73.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,De ervaring was wisselend met zowel pluspunten als minpunten nummer 3,3,19-09-2025,C0006,Eva Kuipers,,63.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Zeer tevreden over de begeleiding en de goede organisatie nummer 3,5,18/07/2025,C0158,Anja Koster,2482,80.0
P013,Hulpmiddelen & Comfortproducten,Zonnebloem Rolstoelkussen Comfort,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 22,4,2024-08-14,C0018,R. de Boer,3946,71.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 26,4,2024-03-25,C0117,,4279,80.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Zeer tevreden over de begeleiding en de goede organisatie nummer 1,5,29/11/2022,C0127,Henk Mulder,7057,74.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 11,5,09-01-2024,C0119,Henk Mulder,7505,78.0
P014,Hulpmiddelen & Comfortproducten,Antislip Dienblad Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,2023-09-09,C0010,Ronald de Boer,3272,56.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 1,5,22-02-2024,C0036,Jan de Vries,1397,68.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Zeer tevreden over de begeleiding en de goede organisatie nummer 15,5,26/08/2022,C0038,P. van Dijk,9757,73.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,18-06-2025,C0010,Anja Koster,4786,67.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,15-06-2023,C0186,B Smit,3603,69.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,De ervaring was wisselend met zowel pluspunten als minpunten nummer 6,3,20-04-2024,C0107,Piet van Dijk,8915,56.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Zeer tevreden over de begeleiding en de goede organisatie nummer 16,5,16-09-2022,C0180,Naomi Visser,9886,72.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Er waren veel problemen met de planning en te weinig hulp nummer 1,1,30/11/2024,C0096,L Verhoeven,8073,85.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 26,4,25-04-2024,C0094,Naomi Visser,3053,70.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,16-12-2023,C0031,Ahmed El Amrani,,73.0
P015,Hulpmiddelen & Comfortproducten,Bedtafel Verstelbaar Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,2022-07-12,C0079,Anja Koster,9841,70.0
P014,Hulpmiddelen & Comfortproducten,Antislip Dienblad Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 1,5,11/03/2023,C0112,P. van Dijk,5079,72.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,2024-03-23,C0083,R. de Boer,6500,84.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,2025-05-25,C0143,K. de Groot,5306,
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 10,5,22-09-2024,C0032,P. van Dijk,2619,69.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Zeer tevreden over de begeleiding en de goede organisatie nummer 20,5,23-10-2025,C0178,A Koster,4838,68.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,24/02/2024,C0142,Jan de Vries,6949,75.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 26,4,2025-11-24,C0098,H. Mulder,7992,64.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,17-02-2024,C0065,L Verhoeven,2303,73.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 3,5,27/11/2024,C0085,M. Jansen,1329,80.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,De ervaring was wisselend met zowel pluspunten als minpunten nummer 6,3,08/01/2024,C0200,,5736,67.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 22,4,20/09/2022,C0125,Ronald de Boer,4335,70.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Zeer tevreden over de begeleiding en de goede organisatie nummer 17,5,08/07/2022,C0075,Naomi Visser,4604,59.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,Zeer tevreden over de begeleiding en de goede organisatie nummer 17,5,22-08-2025,C0022,Ronald de Boer,8488,60.0
