product_id,product_category,product_name,review_description,number_stars,review_date,customer_id,customer_name,zip_code,customer_age
P128456,Elektronica,Bluetooth Koptelefoon X200,Uitstekende kwaliteit en werkt perfect,5,11/22/2023,CUST01234,Sanne de Vries,2512 AB,28
P987321,Elektronica,WiFi Router AX3000,Fantastisch product en snelle levering,5,4/3/2022,CUST04567,Jan Jansen,2628 HG,35
P652111,Boeken,Thriller Nachtlijn,Mooie kwaliteit en snel geleverd,4,5/6/2024,CUST08327,Bas Hendriks,2282 QI,27
P330778,Huishoudelijk,Airfryer Pro 5L,Redelijk maar niet bijzonder,3,5/21/2021,CUST77993,Daan de Boer,7615 DS,36
P440002,Kleding,Sportlegging Flex,Snel kapot en lastig om te gebruiken,2,8/3/2024,CUST90199,Eva de Boer,6313 YY,31
P551230,Voeding,Notenmix Naturel,Heel blij mee en zeker aan te raden,5,12/31/2024,CUST60393,,8177 QO,82
P774079,Tuin & Klussen,,Gemiddeld resultaat en had meer verwacht,3,6/27/2022,CUST18302,Emma van den Berg,9830 IX,32
P711878,Voeding,,Prijs is prima maar afwerking kan beter,3,3/26/2022,CUST18132,,2489 YB,41
P871476,Elektronica,Tablet Go 10,Werkt beter dan gedacht en erg gebruiksvriendelijk,5,3/12/2025,CUST41105,Sanne de Vries,8811 QQ,33
P260263,Voeding,Olijfolie Extra Vierge,Problemen bij gebruik en weinig ondersteuning,2,1/10/2024,CUST69515,Jan van Dam,6310 PA,40
P335612,Boeken,Managementboek Slimmer Werken,Valt tegen en weinig waarde,2,2/13/2021,CUST77111,Eva de Boer,4608 AC,26
P360735,Beauty & Verzorging,Shampoo Repair,Prima product met nette afwerking,4,1/4/2024,CUST58801,Henk Kuipers,4006 IO,28
P399105,Sport & Outdoor,Sporttas Compact,Perfecte aankoop en mooie afwerking,5,9/17/2024,CUST94164,Lina Visser,4111 JG,78
P103402,Huishoudelijk,Snelkookpan SafeLock,Net product en werkt grotendeels zoals beloofd,4,4/10/2025,CUST23417,Koen Bakker,5889 UQ,29
P148050,Office & School,Pen Gel Blauw,Topervaring en precies zoals beschreven,5,6/13/2021,CUST30513,Lisa Hendriks,5554 OU,19
P539898,Office & School,Laptopstandaard,Resultaat onder de maat en storingen,2,4/21/2024,CUST36464,Jan Smit,,28
P584714,Kleding,Sportlegging Flex,Teleurstellend en niet de kwaliteit gehoopt,2,8/1/2024,CUST37710,Lina de Boer,9915 PF,33
P723398,Kleding,Rok Denim,Bouwkwaliteit zwak en prestaties mager,2,6/17/2021,CUST54949,Ruben Peeters,9565 KI,16
P751332,Elektronica,WiFi Router AX3000,Doet wat het moet en voelt degelijk,4,5/31/2021,CUST70469,Joris van der Meer,5345 EL,34
P632496,Huishoudelijk,Airfryer Pro 5L,Uitstekende kwaliteit en werkt perfect,5,5/21/2021,CUST77993,Daan de Boer,7615 DS,36
P632496,Huishoudelijk,Airfryer Pro 5L,Uitstekende kwaliteit en werkt perfect,5,5/21/2021,CUST77993,Daan de Boer,7615 DS,36
P399105,Sport & Outdoor,Sporttas Compact,Perfecte aankoop en mooie afwerking,5,9/19/2024,CUST94164,Lina Visser,4111 JG,78
P871476,Elektronica,Tablet Go 10,Fantastisch product en snelle levering,5,3/12/2025,CUST41105,Sanne de Vries,,33
P471507,Boeken,Biografie Een Leven,Super prijs kwaliteit verhouding,5,8/15/2023,CUST95562,Sanne Bakker,1993 MX,22
P340062,Office & School,Notitieboek A5,Redelijk maar niet bijzonder,3,10/27/2025,CUST43310,Daan van der Meer,4899 IV,36
