product_id,product_category,product_name,transaction_description,number_stars,transaction_date,customer_id,customer_name,zip_code,customer_age
T55868,Retail,Supermarket,Insurance premium paid.,3,2025-02-21,A4330,,5541,57.0
T31368,Subscriptions,Streaming Service,POS transaction completed.,2,2020-09-04,A1917,Unknown,7014,31.0
T24011,Transfers,Instant Payment,Duplicate transaction flagged.,1,2020-12-13,A6682,Sanne,4721,66.0
T76902,Subscriptions,Gym Membership,Unrecognized overseas payment.,4,2019-07-20,A9565,,8587,53.0
T29986,Salary,Employer Payroll,Monthly salary payment received.,4,2020-01-26,A4854,Fatima,1101,120.0
T82204,Transfers,SEPA Transfer,Grocery store purchase completed.,1,2020-03-30,A3995,Lucas,3544,89.0
T92116,Retail,Supermarket,ATM withdrawal processed.,1,2025-11-15,A1701,Unknown,2173,52.0
T28740,Salary,Employer Payroll,Suspicious card activity detected.,1,2019-05-04,A9729,,2832,72.0
T83335,Transfers,Instant Payment,Utility bill paid successfully.,5,2025-04-29,A6945,Sanne,5565,
T89573,Transfers,Instant Payment,Card payment processed with delay.,3,2019-12-24,A5064,,4688,89.0
T61560,Subscriptions,Streaming Service,Utility bill paid successfully.,4,2022-03-16,A1807,Pieter,CWXG,57.0
T94087,Retail,Clothing Store,Suspicious card activity detected.,3,2021-01-31,A7340,Sanne,MQUJ,42.0
T83877,Utilities,Electricity Provider,Duplicate transaction flagged.,1,2019-09-11,A9647,Lucas,2415,34.0
T96565,Retail,Supermarket,Grocery store purchase completed.,2,2021-03-14,A1626,Pieter,8808,43.0
T75364,Transfers,Instant Payment,Subscription renewal processed.,1,2025-06-01,A6914,Unknown,8252,54.0
T41931,Utilities,Water Company,Duplicate transaction flagged.,2,2024-05-27,A7449,Pieter,4218,46.0
T94766,Transfers,SEPA Transfer,Unknown merchant transaction.,3,2021-04-19,A7681,Lucas,7565,33.0
T71289,Utilities,Water Company,Failed transfer attempt.,2,2023-07-18,A2821,Lucas,5041,
T95942,Salary,Employer Payroll,Utility bill paid successfully.,4,2020-06-16,A1117,Fatima,3297,75.0
T56260,Salary,Employer Payroll,Monthly salary payment received.,4,2019-06-16,A8322,Jan,6921,14.0
T45230,Retail,Electronics Store,Failed transfer attempt.,2,2022-02-07,A8226,Sanne,1596,41.0
T82657,Retail,Electronics Store,Utility bill paid successfully.,4,2019-05-17,A7880,Fatima,TYNE,44.0
